,lat,lng,place_id,name,photo_ref
0,1.2932771,103.8535076,ChIJfyNkh6YZ2jERjHsd_P-iL_M,Swissôtel The Stamford,AWU5eFgmUOfVunnGcG2M8a5a0Hc4pSN1UVlOOCSzzZiTB3FSxK9RCZ4Cb1nXVqPEaYjjN4eZlMEozKgNflNyUmnRX_l7Ry0us9whTAOqbV3xtgt3Wzg4QeXPxDt3ujbsNB9dyr3QtISbjevk-pjFtfUtmGM3zsJi3EQ82IiOzV67MSTFGf7l
1,1.3007654,103.841536,ChIJRe0Wq5cZ2jER5qoN9Q0znq8,Concorde Hotel Singapore,AWU5eFjhcCjihRKYqTMyZHF816l8fnWtqNJ4CmInXU33Wfgphc111UELY2yAROK6d-odB3nAx2iMfTbkRQyOjaDFLIePXloN5Wx6btkXL0mu4VDqv7kg-Mg1NWYZqQx8sLQYLr84hsXzs7BgMyFlGHyU6X2Aq-10saCTkdK-WjvBOaZ9cW_G
2,1.2884308,103.8458053,ChIJjS4cuwoZ2jERCTeN-k9LUIE,Paradox Singapore Merchant Court at Clarke Quay,AWU5eFhKfI2U9Rl9v4Ken8T9W-CkydD2kxkqbP_gYO-7ODF_fSnOVeRaH1c8tP5YuQ3l35oh412YqWnQKP103KUyIYjPBK_2C8gEiRXLwt0r2sTX4U5pBZ1Px5GRIKrx1TgeFDXToP-xUqUbZg_MI10ITsTt9ihKneWs3JfvdTcKxe79-RJM
3,1.2942639,103.8537619,ChIJ-Uph06UZ2jERjKQsyQgfltg,Fairmont Singapore,AWU5eFh9d_phyzh7OphYOkW7Qf73mD_6QwLYpJkTg5tl2YhOd9wrH8uRSP861U8_R-xODCqxxv-NgEdmF_OhTK8ZM5E3OgHcxDoQ25oRdLY-caGLXKu6iYPLedh0DpLIKj5ZYs0ciG0_k4WKoahaTH_LgbmdmRBzU5_IDlrNFwY8F2NRe8Lp
4,1.306262,103.8334,ChIJKWGbYo0Z2jER7di0vTo564Q,mezza9,AWU5eFgW8Jj0p6QPTUoWWqq7aLK8R2-63a9B1AlEjHYPSIi2PKhK5lWMrMxhfQw1daTe9NaO8-QFE_W3t97brFp83NcRWgTOayot3KrymSp1aA9OmHuGKVj1etre1H_-KNR3so0SgBAItIDQ-dTIgIQIg7-OaK5KaKv2e0PyroZ2xY_-SkzV
5,1.2853495,103.838416,ChIJcRzD8XMZ2jER_xM9qjz0C3E,Hotel Re!,AWU5eFjzmPHFgljlimK2pncK2YA6_F_ToV8UMrsW7Nw6Y6NGGXZIoiJz95zFVhIB0fQK5ZfSoy4MKaM2q9wn29lOBTGfFFpGB9YehGHaG2TfSl817MAIeX2s3H9DkQazDs6PGA_IQFi8YvrD0xKl9ojs-aAl3piiFOgAbezDZZ_hN1o47jQ8
6,1.310489,103.8556366,ChIJxb_xL8YZ2jERVFvEcbhwuaM,PARKROYAL on Kitchener Road,AWU5eFgkh_O7wcmYSRQp9G7lb-yJABNPenGUjCniQr-F7gb1-xViPomGidrAHdPj2ENdK79-5XdaXMPS8TWkV5WSsM1dIYaDs16jbTlTwdpVI5av7qh1fNvEr-fRwqA0TFKutKDBhsft079tqFEct3FcsXe_wa4gLgXgz-k9YGc4k_NYX6Wk
7,1.3019461,103.8368734,ChIJSZujEpEZ2jERc0ez6ins24Y,Wild Honey Mandarin Gallery,AWU5eFh8-kUm-LrQytMz1Rrcw0goxXXZfZFeNKA42LjF47_uLcJg8UZ9yTJPr1BOMPc4X6nINaMY5fo3e5LKkmk54atf3LlbFtxVFtt3G2NuI36lQJlMAt_AcBoz_lMOLbKvRa1zI85THpQXQ505vBbF02K2eU59uIPli_6jDukA3Ua9pLfX
8,1.3096712,103.8519936,ChIJQ0U9IscZ2jERxoggGQSjBpA,Gayatri Restaurant,AWU5eFgxpoqNxqkgRKaQ8VI11TldAOuiEMyKf-tb4EOF5OXjEbf0XoGFXllxnJT8jCeB9jQfgAXpPQ1XkrXg4Gf0xxoxFDof5TU_r50pcKZ9SG2e2MQ6f9a6saWenBzaCYHe-6OFxWRv_1dgHyhO0Z056enc7gFlE85W_cJ4OyZL-sF5q6s1
9,1.303591,103.8350757,ChIJl_sOMpIZ2jERa4tZiOdKqvc,SUSHI TEI @ Paragon,AWU5eFi_TAP6p4IgtRjMUrkQ_bUtt4Wt0kMbtrl5FcsSEVNWaYpE8-uwjwIg0tsXxRL-HtULgzEqpHX2GRBDOnNJ7IqkSnJc9zp0eRWerdUkqzSqddxNHudbJNa8L9JmMkYHF1Jf1s8t5BPEBFObYzOD9HUvmYmNHkmlqWltuQRRVHUrlOra
